sentence	sentence_id	locale	reason
Questo grande affidamento alla scienza non darà mai risposte alla domanda a cui nessun filosofo a trovato una risposta.	6bebaacd720093f6f9838f8a083cb9acc54411d5f76ffede5e715d62ccfa177a	it	grammar-or-spelling
Successivamente vennero scoperti altri reperti catalogati come Autralopithecus Boisei e Australopithecus Robustus.	5353367be09fbd2e9ace3bbbca2c960ef65e03b085bbf04a4140f86973429806	it	grammar-or-spelling
Proprio per questo motivo la gambata han fasi ben definite e, come nella bracciata, sono 3 fasi.	6ef0af658e979964b95a4367741a4e72ab7959a7be3e1e572d4a29fd6787a273	it	grammar-or-spelling
Ma perché, by Jove!	7036caa350d8b3f688b4f10e5a5f8752fd0dc48939fccf0d2f40367e39fa5c5a	it	different-language
Fare marchette.	7c709e28ef9c16f266a23a9b0dc15f87129317758bd926b97b2658dc9fae0217	it	offensive-language
Avrete visto in quel vetrino un animaletto somigliante a un animale preistorico di cui la specie è spenta.	70921857a58fbf900cae32677064b648c41d8a0653998e0f6981825fd9c77990	it	grammar-or-spelling
Essa era scoraggiata, perché aveva avuta una vita moralmente burrascosa.	7202d6b9a5612741159c3ff543c70714dba3cb3a8f1df0bd59deda0dadaf7248	it	grammar-or-spelling
Forse, neppure una delle parole che aveva dette rispondeva a verità.	73ac0dc5f08f6365b285b735aaea69de323cc7dbc85a9a34cff00c66827d4911	it	grammar-or-spelling
Decretando il successo insieme a Microsoft Office nella nuova versione XP, la posizione di monopolio della Microsoft.	6f979916846957c2052e8409280e4de874614524b51ed8a22e903e6454092432	it	grammar-or-spelling
Non corrono bensì saltano con le zampe posteriori e usano la coda come bilanciere hanno una postura eretta.	7369298b8070458e588af988608c6ccf10591e2b09e1d335309477677180e16e	it	grammar-or-spelling
Toccano finalmente Giove a circa un grado mezzo a nord dell'equatore.	7a5bb1b4c820012c4722d253418ac6c6f13d30016dd5321913bf57a88124aa0c	it	grammar-or-spelling
Non corrono bensì saltano con le zampe posteriori e usano la coda come bilanciere hanno una postura eretta.	7369298b8070458e588af988608c6ccf10591e2b09e1d335309477677180e16e	it	grammar-or-spelling
I traducenti scelti devono essere conformi all'uso comune nella lingua d'arrivo.	7307f1d63123a60e49249894db5f95fefd8962b23f0294f7e272e9f0c39742bc	it	grammar-or-spelling
Fare agli altri quello che vuoi fatto a te.	7eb6260b3a8c2f8c935983e707bd53d9dda87c04a5ccc42b50a2ee6878e36504	it	grammar-or-spelling
Levar la pelle a qualcuno a qualcuno.	7cd811491baeebf4667686da01b5edb8c08c4340c4575f98f8bd9d7d80e57032	it	grammar-or-spelling
È scegliere di avere libertà di modificare il programma per cui hai.	7f3808dee2de68d448897145abd9c08104d8a2e58dd14cde804466203a6e682e	it	grammar-or-spelling
Ma con una serie continua di piccoli scoppi succedentisi con straordinaria rapidità.	6c966e432e7bb83aaad4ff7f54f4a3fb1a88dcea69e1a1455c5aa8c2cd7b6506	it	grammar-or-spelling
Grazie alla causa dell'attesa del rilascio del codice sorgente di una parte dello stesso.	7f124c4027a6c66f1cb55c36ae9d91feeaa855ede542a861a1979563641d56af	it	grammar-or-spelling
In base a tale accordo Bill Gates avrebbe dovuto mettere da parte il sistema operativo Windows per lo sviluppo di OS/2.	885f75090bb51c5a3e18127b4ebe0e34c64acf22897db5443438e8105fc2c3c7	it	difficult-pronounce
Ci sarebbe un controllo totale a partire dai programmi che in caso volessimo usarne un altro (concorrente) non funzionerebbe.	527bae7f33d19891cc5de8093f3c3c317951b2a5b88cacae066531f53eea1e4c	it	difficult-pronounce
Successivamente vennero scoperti altri reperti catalogati come Autralopithecus Boisei e Australopithecus Robustus.	5353367be09fbd2e9ace3bbbca2c960ef65e03b085bbf04a4140f86973429806	it	difficult-pronounce
È una delle stile liberista più forti e detiene i record mondiali nei 400m, 800m e 1500m a stile libero.	8a13795a1551181145b5e8fb990d00a0fed11d1946b4bbe47630d4211669a71b	it	difficult-pronounce
A presenza di sposi novelli commuove particolarmente, perché la famiglia è una grande cosa.	82579a89f3cca4debff70bf0abe7f39250e1debc5ad46b0bbe4ea1a7699744a8	it	grammar-or-spelling
"The Cathedral and the Bazaar", saggio del 1997 di Eric Raymond.	7758fb72ce3625a6daf5c61437554ce7959a92a86c9c93ef75bbfa156156f876	it	different-language
Il killer application è un software, che riesce a penetrare nel mercato e ad imporsi sui prodotti concorrenti.	6d2358621628451cb3f9ed5ecbb73b63506592766dcbfe017fc2ff785ca5b0dd	it	grammar-or-spelling
Mentre, i maschi probabilmente il doppio di 23 kg.	8c69c8e64fab8224a75828dd3a330fb791a90cbbb6b4de4ccf2986c526ffd1cd	it	grammar-or-spelling
Poiché direttissimo 49 passa sul primo binario verso parapetto ed è possibile valigia sia stata lanciata in acqua.	a37fd058fd0566d0a7c7abe5c1b2d94e617a18bff216e03ff33b81c943e58ee4	it	grammar-or-spelling
At the Stroke of Twelve	0011fdd545b93035246dfa5698a3177b92c51adfb2ea3906e008364b25960812	it	different-language
Nonostante ciò la "Control Council Law No.	006c3e0266715169bfc5c80d865e423769c7ba365b5a2a7ac2b7c2e57b3b70b3	it	grammar-or-spelling
Jason de Vos	005bf7e3ed013a2fd7420d34cc71c94dea11f80352e197ab8b4dd828fb44001e	it	difficult-pronounce
The Shining	004798b773af9e933408fe7a357d15fe599f1402a11c789257c06953eca37446	it	different-language
Inizia allora a lavorare come direttore della fotografia per i "Guangxi Film Studios".	00680cdf8dae7bab7af1eec2da80b9ce223ee8055997cc45ba9f8486028d7a0d	it	difficult-pronounce
È presente un fabbricato viaggiatori che si compone su due piani.	009773242362fa5552ad963bbba1cd0d3718d0645497ef25526c727ee6beb936	it	grammar-or-spelling
Ma finito il piagiama-party tornano tutti a scuola.	0048793814b74fc5ea4492f0001658cc8e5c21c3ffde16c83fcba41b098071cb	it	grammar-or-spelling
I. Mendeleev.	004fbd5ef4e42f8f1013a02a3f6039394c17972ad74b60a5a2fbcd0fd8c3bed5	it	difficult-pronounce
Era fratello gemello di Jarosław Kaczyński, politico ed ex primo ministro.	00a083241fa0dd8daccd5697bd60837fca40f183e5798f12ed657540b488faa2	it	difficult-pronounce
Dio sa quanto mi dispiace averlo risparmiato".	00896ab96ad87b4730826091630e5a7f785cc4c2e96834a697af3561e5516173	it	grammar-or-spelling
Secondo molti giuristi, l'art.	00b182dd88ac7cf758f9ba7c737f6131d0284b1b2b0936b901c85119686f582c	it	grammar-or-spelling
Qui hanno sede l'Università di Kansas e l'Haskell Indian Nations University.	00b7129ddb892e777aca64c19957f371b7b861fd0c8fdd6a262422f4c45dc823	it	grammar-or-spelling
Andrea Rovatti	00b2ffc3895b8fb6d1ae8639d56c36a8b9a1fa122f05a95ebdafdaf0b97367c3	it	Scarso valore
Liam Kelly	00a5fd8dec8c3fcca431f5c877b43a6085596acbf39bdc8431b2b94510ce17f6	it	different-language
What the Fuck Is Wrong with You People?	00893dce4054955973a10ef1aa3e900046b42fd1c916df7aa6dd16ccce4fce35	it	different-language
Conclude la carriera con il passaggio al e successivamente il ritorno al Rovereto.	00bdf984dbf169d416d4c06b0e805f370b0fc545aa8efb63fe3661833aea80e8	it	grammar-or-spelling
La struttura è classificata come "rijksmonument" nr.	004bafc3c0b005a381d4b0080b9aeb27809a4abba545cb319c19dbb8e0445b22	it	difficult-pronounce
La struttura è classificata come "rijksmonument" nr.	004bafc3c0b005a381d4b0080b9aeb27809a4abba545cb319c19dbb8e0445b22	it	difficult-pronounce
Il clan era composto da due rami: Gli Shimōsa-Yūki e gli Shirakawa-Yūki.	00bea4ac7309d81cff3ca1c3424f99f50538ba7d30b1bd5c237260b5c65ba0fb	it	difficult-pronounce
Con Tom Sykes e Jonathan Rea diventa dominatrice del World Superbike.	00c945e4d10c75d3b8fcb699bab6c66a965bed18660ec473fe9d7c83941301cb	it	different-language
Con Tom Sykes e Jonathan Rea diventa dominatrice del World Superbike.	00c945e4d10c75d3b8fcb699bab6c66a965bed18660ec473fe9d7c83941301cb	it	difficult-pronounce
What the Fuck Is Wrong with You People?	00893dce4054955973a10ef1aa3e900046b42fd1c916df7aa6dd16ccce4fce35	it	different-language
What the Fuck Is Wrong with You People?	00893dce4054955973a10ef1aa3e900046b42fd1c916df7aa6dd16ccce4fce35	it	offensive-language
State Property	00bd75fb309dc9d83fc5457c6f591b99f612562ce6bb5223ce87d79558899d5d	it	different-language
Feather Your Nest	009ed774a457132cebbadf9c59a4141406594a8df1f1dd9e8e65f66ed5a604cd	it	different-language
Jason de Vos	005bf7e3ed013a2fd7420d34cc71c94dea11f80352e197ab8b4dd828fb44001e	it	different-language
Il club ha sede a Loftus Road, nel borough londinese di Hammersmith and Fulham.	00bcf60ac8228cef5004548e106930ad477e6f0d4f1a2b071a0fbf2567086627	it	different-language
Conclude la carriera con il passaggio al e successivamente il ritorno al Rovereto.	00bdf984dbf169d416d4c06b0e805f370b0fc545aa8efb63fe3661833aea80e8	it	grammar-or-spelling
Un'Idrovora è una macchina per il sollevamento delle acqua.	00d4bf5b97a62125d649cca5dff276fa4d999845a1669a8d40c0d537dcf06b64	it	grammar-or-spelling
Si stima che circa mezzo milione di persone sia stato sepolto a Vagan'kovo.	00c41264a44a16a2bb5b36c788445e83205ea8397184ea7783d517b503df43e1	it	grammar-or-spelling
Park Ridge	00d8486228bd77e846fe54cb4a1e3e0edbcb96874eacd16467bc418f9eb287db	it	different-language
Anche se un clown fa già paura di per sé".	00df2cf3677a1661a34de5b44946089135b0116a36c6b116de5965cd222879e6	it	grammar-or-spelling
È il settimo film della serie "Who Pays?	00da1601145ce4360a6161a0bc7d9d2ecaf5f52fe107debd8289db9c0b4c3cf3	it	grammar-or-spelling
Un anno dopo va a giocare nel Lokomotiv Bakı Voleybol Klubu.	00e97dfc468d5e0d43377f74d45e7b7fe947ff67afddf6b2055d5118fe170554	it	different-language
Un anno dopo va a giocare nel Lokomotiv Bakı Voleybol Klubu.	00e97dfc468d5e0d43377f74d45e7b7fe947ff67afddf6b2055d5118fe170554	it	difficult-pronounce
Enrichetta moglie del C. Gio.	00ce9ccb709ac0da7e17de0fbd1fc363d33351d137f3d5739c76428208c5d6f3	it	grammar-or-spelling
Il videogioco della prima serie, "Ariena~i!	00e8a376de0b968b12bb320d37f847ad7ad4ea82534710826f3b52ee3499390a	it	grammar-or-spelling
Oltre ad essere un componente di alcune scorie, MgS è presente in alcune meteoriti.	00da4d9d9c561d228ca1dfdde827ee402626223f170699a505bbcfefafe52074	it	mettere il nome completo https://it.wikipedia.org/wiki/Solfuro_di_magnesio
Hall of Fame	00c236ef535b35b95353eb654ee35c18e0c8708c5685ae829ac1106edba359b6	it	different-language
Essi devono operare come i "maggiori cultori dell'Arte.	00b8034a1ab6bdf11e32eda923bc65b41c7bee32aa284799843056c9cd3cb48c	it	grammar-or-spelling
Secondo molti giuristi, l'art.	00b182dd88ac7cf758f9ba7c737f6131d0284b1b2b0936b901c85119686f582c	it	grammar-or-spelling
Un anno dopo va a giocare nel Lokomotiv Bakı Voleybol Klubu.	00e97dfc468d5e0d43377f74d45e7b7fe947ff67afddf6b2055d5118fe170554	it	difficult-pronounce
Un anno dopo va a giocare nel Lokomotiv Bakı Voleybol Klubu.	00e97dfc468d5e0d43377f74d45e7b7fe947ff67afddf6b2055d5118fe170554	it	different-language
Non ha riferì di lavorare ed è venne licenziato senza pensione.	00e99e62fc3783a7e6055a42f604b8a93f8715318f11b630495c6ae13ac3eb9f	it	grammar-or-spelling
La situazione era ben rappresentata dal giovane Benito Mussolini che, da direttore dell’"Avanti!	01138bd431cfa6224c1c5b8572d6937de7dd459fbcc50616ad09c4d53b6a8a35	it	Incompleta
In essa erano presenti anche famiglie Mi'kmaq.	0143d1adf995fbb6d88b08df79e219c7747711e8e23766f865fb87ad262d2947	it	difficult-pronounce
Il dorso è scuro è il ventre è arancione-rossastro.	01a9196bbaca86d2568502ec308c180edf18b75d0a5afae83f19da1fbbb86b0a	it	grammar-or-spelling
Studiò fino all'età di sedici anni quando, rimasto orfano, iniziò a lavorare la terra.	0250192da2eb0dbd52a15c930d6193371e16ba486fc332a8743c65991ec2a495	it	Continua a segnalare che il volume è troppo basso. Sono al massimo, mi dispiace.
Due solo match per gli azzurri.	02556066e0ed3b6021b31dce79fe744e2a8a617fc8d1f72e869506a285dd3038	it	grammar-or-spelling
Espone continuativamente con personali e collettive in Italia e all'estero.	0225eb585a14252c4eef3dc7eacb23b29304b770cccaa3f224ae3cb69c4b40f9	it	grammar-or-spelling
Solo in provincia di Bolzano il censimento rileva ai fini della proporzionale etnica.	023d6f39d42e6570000ff56af5c942d072ae0cb169c1ccfff8b606605b7a801e	it	grammar-or-spelling
Essa si occupa di regolare, sviluppare e studiare la lingua turca.	029dae16395d790d15bf5e3b6cc27f7deed05317cc3b518f082db5261a001d61	it	microfono attivato ma  non compare l icona sul pulsante di registrazione
La è qualificata direttamente come campione in carica.	02e1f36cf01e5d0213f6d444f818fbfc8806ee866115fdad6eaa691a36a27baa	it	grammar-or-spelling
Gli amenti maschili sono allungati i femminili ovali e più corti.	032f156553555f5bfe32da5264ed2e7be19f074b03f8a823cacbd53d04ff8410	it	grammar-or-spelling
A Message from Beyond	03085743867d456fbaa5a0a24d4649004d25658711508600deeb9d27dc4cfab0	it	different-language
Fece successivamente parte della squadra sudafricana alla in Inghilterra, conquistando il terzo posto finale.	03425daccaea2938d0df0cd03b4caced12dcbbc8d2da9f8ae5e24561a8953b4e	it	grammar-or-spelling
Popeye Jones	0310834012370501820cfe8efd25aefc341af9ab7cc59abc4654b8e65cfc6d09	it	different-language
Linda de Vries	02e387841e94af34b8fb7e74de7b0f5f270a4431249da6b5d3084eb376356dbc	it	different-language
Trento sono sempre stati il giallo e il blu, i colori della città.	0347122625c134d3349b3901d4b706096aef3faf39d71d1c71036ecd3800d7e3	it	grammar-or-spelling
È ancora presente piccolo lato del bordo originale nella parte di nordest.	034400c6cb0e3af7265b77fb68a8a63b029eca17dc2b3f3f905478d02099a82d	it	grammar-or-spelling
Botany series.	034993acb1187434379b57b5771c4551265faa39de4ff7dbe8042189e8fef0c8	it	different-language
Fu costruito prima della morte del presidente della Boeing Philip G. Johnson.	035a563d2fd1dbb05c390174fb0176505fc02cfd617e7a00f34cd1a5c59d82ee	it	Non registra
Terme Vigliatore, è servito dalla ferrovia Palermo-Messina.	035a872e9d5b8eae6d207b8595b5be72c7eedeeac19d66605c537059086850bf	it	difficult-pronounce
Terme Vigliatore, è servito dalla ferrovia Palermo-Messina.	035a872e9d5b8eae6d207b8595b5be72c7eedeeac19d66605c537059086850bf	it	grammar-or-spelling
Terme Vigliatore, è servito dalla ferrovia Palermo-Messina.	035a872e9d5b8eae6d207b8595b5be72c7eedeeac19d66605c537059086850bf	it	offensive-language
Terme Vigliatore, è servito dalla ferrovia Palermo-Messina.	035a872e9d5b8eae6d207b8595b5be72c7eedeeac19d66605c537059086850bf	it	different-language
Terme Vigliatore, è servito dalla ferrovia Palermo-Messina.	035a872e9d5b8eae6d207b8595b5be72c7eedeeac19d66605c537059086850bf	it	fuck

L'esercizio fu con trazione a vapore fino all'anno di chiusura.	035be348cab67db8fe3e5af8b878bb9e9fe6554d4d67c8e041a7a6ca728821f0	it	grammar-or-spelling
La città si trova da Waco.	0338dbabcae8ea8a2be97568147e425102b53bfc24ebd929ebc38fc778d007dc	it	grammar-or-spelling
I migliori quattro challenger alla fine dei due Round Robin avanzano alle semifinali.	0350ffeb103be34fe7841db1feaad41775176417ba0d7401826842e7017ba8b0	it	grammar-or-spelling
Il suo più grande desiderio è distruggere una volta per tutte Maxum Man.	0366f3a9f0fbed9a20b6e1866186ef3a224e6780c3ad4728bff77e2976e176db	it	offensive-language
Il trofeo è stato conquistato dall' per la seconda volta nella sua storia.	038d179baf38fb1e9085c85a48d4e0a0639f16539828f3c7274fea125f1d6f9b	it	Manca una parola
Il disco contiene i brani "Fidati!	045a46a53f7fade72e920cc58679382e673e04f0df00c10625b1fd30510c6505	it	grammar-or-spelling
Nelle versioni sviluppare per cellulari, il videogioco ruota soltanto intorno ad un caso.	04722d95655c4ec3b52b02a2ab4f9dd4662afc4fcb1943279ae4887482d0faa1	it	grammar-or-spelling
Golden Master	050daca3cfe596c50016472bca3086d133556462d5cdab5c18e16fa9e10b3d14	it	different-language
Quando i Messeni rifiutato di restituirle, gli Spartani invasero la Messenia.	04f073e4dd784c536fa0f1b0802add439e59ebdfbe8ae7b32e43aac2a564222b	it	grammar-or-spelling
Was Ist Das?	050d15f8b1ffa848ef40a48992160621b751d8308d6b86f599da333a6ae2a110	it	different-language
Quando i Messeni rifiutato di restituirle, gli Spartani invasero la Messenia.	04f073e4dd784c536fa0f1b0802add439e59ebdfbe8ae7b32e43aac2a564222b	it	grammar-or-spelling
In alcuni casi, ad es.	050860c08b53d737a68a96f0547fa7030a596525c8026140613a273979d6789a	it	Incompleta
Theory of Everything	05622559f9a5a0fd0801728d5456a3d30bdba0e42b36e128c9b59aa6343fb77c	it	different-language
Holy Grail	055f207af89aa205bc8d5d5c02b7c91207107339ec358a0464958c9a503a7643	it	different-language
The Marriage	0586b8713bab99c6c9f1e6dea2c4d5f98d082d9f83103948588738911ed08eaa	it	different-language
William Reynolds	057c93c16dba981fd325c0f18afbaabdaa7176fd9d3479e3cbc709dfe52ccb0b	it	different-language
Il brano era prodotto da Richie Cordell e Kenny Laguna.	05a0095b8929100e34407d87c144f91cc0f9e2bd94171ff5d754825357706ab2	it	different-language
Questa linea renderebbe il granduca di Sassonia-Weimar-Eisenach come prossimo erede.	05e80f4cd2d9676416e8781f5972bc8df92205cabf13aab7567475de2f990832	it	different-language
Tutti i brani sono stati arrangiati da Gershon Kingsley.	05e63206e00136b4c99bb2a0e1128840fdfd2f2cc658d7ae8421c4700b987422	it	difficult-pronounce
Si trova in "quai Saint-Nicolas", sulle rive dell'Ill.	0587ae4e6b8ce595a479f982a780f608334b6123af39384070f6445777b33586	it	different-language
Il torneo vedeva annualmente la partecipazione dell' e di altri tre club mondiali.	05cbde35a5f47f7b9bc640ee5bada7995ff2e9cb7016899b441098fd76ab2d1d	it	grammar-or-spelling
Qui è allenato dal padre Gennadij.	05f09bb09b4a24c869667ed6052ce80aaf77b1b070105ff03acb509c8c2500dd	it	grammar-or-spelling
Qui è allenato dal padre Gennadij.	05f09bb09b4a24c869667ed6052ce80aaf77b1b070105ff03acb509c8c2500dd	it	different-language
Qui è allenato dal padre Gennadij.	05f09bb09b4a24c869667ed6052ce80aaf77b1b070105ff03acb509c8c2500dd	it	difficult-pronounce
Fu una delle prime attrice americane a recitare in un film australiano.	05dece671ae15f412f467c79435222219c3583394188e221803fe08f1a70440d	it	grammar-or-spelling
Sul bordo interno, a oves-sud-ovest, vi è un altro piccolo cratere di forma irregolare.	05dd8a309fe1c09bcb13ea3043cae9a3d4aa83adfc16072ce30b6cfc870d0af4	it	grammar-or-spelling
Her Face Was Her Fortune	05e30a16c10c9d86444873619a3e53254151081631e2b31560de294c783a177b	it	different-language
Park Hee-kyung	05e4073c0d5593d9be37d6d35c4c38aa4e52e25101e2c99e730328a8e577bdff	it	different-language
Servivano per raggiungere le case collocate in alto.	05ec67f1deca560292b3447863b90a99ea0d3d8505342b14c4201bf91883b66f	it	difficult-pronounce
Servivano per raggiungere le case collocate in alto.	05ec67f1deca560292b3447863b90a99ea0d3d8505342b14c4201bf91883b66f	it	different-language
Altri fuorusciti si unirono alle bande di briganti che operavano nelle vicine montagne.	05dbf7c60a7199848e953e0db1d1c4da57766df164c5725a74ea4670864a093d	it	grammar-or-spelling
Il film fu prodotto da Bay City e diretto da Jim Wynorski.	05cb9470f2ce5d89a760e8102568243a825f176142feb41136d6a3506531b842	it	different-language
Il film fu prodotto da Bay City e diretto da Jim Wynorski.	05cb9470f2ce5d89a760e8102568243a825f176142feb41136d6a3506531b842	it	difficult-pronounce
Si trova in Avenida Getúlio Vargas, Centro.	05bc144036e9adbd902394068a69f2f666e51c5bc3c1135dd8448945809a7197	it	different-language
Welcome to the Real World	05cf2e97a96589dcee52c4a025245aa1d5ac49e1e8fbba53d8ca98609d452d75	it	different-language
Gli albi da lui disegnati sono: nn.	0678d7282eba18b80e6cbff91726cb04e09d566ba5dae6a859d2f873f4433878	it	grammar-or-spelling
È anche membro della "International Association of Astronomical Artists".	0695423e1061a8605c6278a1fdf6ea28c5356cbb125cacbd6de157873cce8bbc	it	different-language
Kelly Rowland e Kylie Minogue.	069022902a96aa9d18dfb8f12926cef8740ccc225e6e4b20ac277efe34986ef7	it	different-language
Khaled Mohamed	06b200ba89202e9c09cad49c7643954aa5b4b9c254438c5209a0753303d5cb71	it	different-language
Khaled Mohamed	06b200ba89202e9c09cad49c7643954aa5b4b9c254438c5209a0753303d5cb71	it	difficult-pronounce
Gli albi da lui disegnati sono: nn.	0678d7282eba18b80e6cbff91726cb04e09d566ba5dae6a859d2f873f4433878	it	grammar-or-spelling
Gli albi da lui disegnati sono: nn.	0678d7282eba18b80e6cbff91726cb04e09d566ba5dae6a859d2f873f4433878	it	Presente abbreviazione
Nell'anno seguente, Carrano "et al.	069389456ae98bff4da2fb877a61a4dc57a63208a4862f87057388abcb0d8e07	it	Presente abbreviazione
Strange Days	06afea4409c2a870ddab32f5ac184e92134817587e410b3907ec7a7184de1d59	it	different-language
L'Estudiantes e il Gimnasia y Tiro furono retrocessi in Primera B Nacional.	06b56ac0a7431d37ba9a64705cca1da60f96437d13655410486a46dcd320d42e	it	difficult-pronounce
L'Estudiantes e il Gimnasia y Tiro furono retrocessi in Primera B Nacional.	06b56ac0a7431d37ba9a64705cca1da60f96437d13655410486a46dcd320d42e	it	different-language
Il derby tra Ancona e contrappone le due principali squadre della provincia di Ancona.	04c4a10a8eb1eae5173f6f12a1872a298088dbfb1f0c302cdb6ca6e0b79bef9f	it	grammar-or-spelling
Se un giocatore sbaglia a posizionare una matta può cambiare la sua posizione.	07877c5aa9967922153d48975766bbf9906e810748a03b000cca14d9a585899c	it	offensive-language
Molte delle sue opere significative furono pubblicati in postumi.	07ad3393bcff768729fa2f0629d35114c65716679a91708de9096cc3e2a153db	it	grammar-or-spelling
In questo esempio, il logo di Wikipedia suddiviso in due parti.	07c43781dc51d7bc225bcf17c3ab6eec92c6d4401c0ef2c7d0371407107f65dc	it	grammar-or-spelling
Nobody Lives Forever	07acbad269d4a85e12616dd47c6c0b7d8bf07f800dfca6f25ff6dad4f30755cf	it	different-language
Vinse numerosi concorsi di gare poetiche ed ha inciso numerosi dischi.	0763134aaa2ee3ea2d47c7fe1615346081bf5b22a8d462a9ed3cbde5e9bbf0bd	it	grammar-or-spelling
Nell'autunno dello stesso anno, Anna e la sua famiglia si trasferì a San Pietroburgo.	07b501ec3e040ab90503bb4f09a4525749f68c5e51ca929ad96678b0c857fbf4	it	grammar-or-spelling
Nobody Lives Forever	07acbad269d4a85e12616dd47c6c0b7d8bf07f800dfca6f25ff6dad4f30755cf	it	different-language
Held by the Enemy	07c57a16f046ef465ce900304eae7646b5d70de04587803b43906e867fe3dd11	it	different-language
Ora capisco, sì"	0755dd1aa34860e486b5f570f9bbb15d9e19f185001baae578202e5bd773daf4	it	grammar-or-spelling
Attualmente registra una ridotti emigrazione.	07c4b348758ce4e76fe61ba3b7f694338d768cb93432b4d254e51f096b4a5da7	it	grammar-or-spelling
Who Do You Love?	07cf65da94e1ef60fbb343891d74deff813bfdc5790b88985d1ad07ae084fc93	it	different-language
I protagonisti sono Angelo Donato Colombo ed una giovane attrice.	07cd9b5b8e3004cf1346af579f4d0508f0bff4b97d48063447439ce30429bfd0	it	grammar-or-spelling
The Big Catch	07b6998335faf51826a2c4332078682573cc8fd4374c156a274b082cde2201eb	it	different-language
Takeo Wakabayashi	076e37a9f9b63a10b1a8e6d8c49657102bc2a4a2eca64012aae0e264961f6055	it	different-language
Cornel Marin	07845ca34cdc3f2761de8a1e656bf462f36ba63b2102f4be1c30c245aa91eed3	it	different-language
Edwin Aguilar	07a4a52c5f674617c75b7ae74cdf6a10a48d7d4e305c457ddbacad18879b2c8c	it	different-language
Quelle che seguono sono al momento le uniche certe che abbia realmente ottenuto.	07bbb6a6d887920a5f75689e9603b91199f873e7b7029d336fbf76eda807134e	it	grammar-or-spelling
Ivar Eriksen	07cdaba522b38b2508361d478842ebb916936151e1baa6a3d61430035fc65e17	it	different-language
Svolge attività pubblicistica e politica collaborando come editorialista de il manifesto.	07a6d01a8478aeea38fbd445c611cfa9e1cdfc8326225a2cceb80079e06350bf	it	grammar-or-spelling
Jimmy Dugdale	07cd8876f85137219a611526133ff3f985f1a3efee8edaccde18e2c0246e2b7d	it	different-language
Classe Bay	0796fe78ea8f2ede3618c9c2ac59baefa7af839d9e9e29b09906558fe35d7649	it	different-language
